SiteID,Longitude,Latitude
1,-114.330104,51.106824
2,-114.236452,51.126450
7,-114.181077,51.106871
8,-114.194019,51.124694
12,-114.313088,51.139991
13,-114.321835,51.138111
14,-114.166936,51.153721
15,-114.303446,51.089719
20,-114.305557,51.135952
21,-114.268712,51.142283
22,-114.288502,51.131936
23,-114.233289,51.091422
24,-114.279055,51.147553
25,-114.267132,51.073392
32,-114.229502,51.077032
33,-114.272327,51.113339
34,-114.309564,51.117012
35,-114.262436,51.112683
36,-114.207933,51.132046
37,-114.314411,51.092037
38,-114.268834,51.106564
44,-114.160654,51.134603
